time,v,bsoc,i
1021019,141075,639,6696
1021519,141075,640,6700
1022019,141074,641,6702
1022519,141073,642,6697
1023019,141072,643,6705
1023519,141071,644,6702
1024019,141071,645,6701
1024519,141069,646,6701
1025019,141069,646,6702
1025519,141069,647,6702
1026019,141067,648,6703
1026519,141067,649,6701
1027019,141066,650,6703
1027519,141065,651,6702
1028019,141064,652,6703
1028519,141063,653,6704
1029019,141062,654,6706
1029519,141061,655,6705
1030019,141060,656,6702
1030519,141058,657,6703
1031019,141061,658,6706
1031519,141059,659,6702
1032019,141058,659,6702
1032519,141054,660,6700
1033019,141054,661,6698
1033519,141055,662,6703
1034019,141051,663,6706
1034519,141052,664,6702
1035019,141050,665,6700
1035519,141048,666,6705
1036019,141047,667,6706
1036519,141046,668,6698
1037019,141044,669,6700
1037519,141043,670,6704
1038019,141044,671,6696
1038519,141044,672,6697
1039019,141046,672,6701
1039519,141043,673,6701
1040019,141041,674,6699
1040519,141041,675,6703
1041019,141039,676,6700
1041519,141040,677,6704
1042019,141037,678,6701
1042519,141038,679,6701
1043019,141035,680,6699
1043519,141034,681,6699
1044019,141033,682,6701
1044519,141033,683,6701
1045019,141031,684,6695
1045519,141031,685,6697
1046019,141029,685,6698
1046519,141030,686,6702
1047019,141028,687,6698
1047519,141027,688,6698
1048019,141028,689,6700
1048519,141027,690,6698
1049019,141026,691,6698
1049519,141025,692,6704
1050019,141025,693,6700
1050519,141024,694,6700
1051019,141023,695,6699
1051519,141022,696,6699
1052019,141024,697,6699
1052519,141021,698,6696
1053019,141020,699,6701
1053519,141018,699,6699
1054019,141014,700,6703
1054519,141017,701,6700
1055019,141015,702,6704
1055519,141016,703,6697
1056019,141014,704,6700
1056519,141014,705,6701
1057019,141013,706,6703
1057519,141012,707,6702
1058019,141011,708,6702
1058519,141008,709,6698
1059019,141009,710,6696
1059519,141008,711,6695
1060019,141008,712,6698
1060519,141009,712,6697
1061019,141006,713,6698
1061519,141006,714,6700
1062019,141005,715,6694
1062519,141004,716,6697
1063019,141004,717,6695
1063519,141002,718,6699
1064019,141002,719,6700
1064519,140999,720,6696
1065019,141000,721,6697
1065519,141000,722,6699
1066019,141000,723,6701
1066519,140997,724,6692
1067019,140997,725,6697
1067519,140997,725,6697
1068019,140998,726,6697
1068519,140996,727,6696
1069019,140995,728,6696
1069519,140994,729,6696
1070019,140991,730,6699
1070519,140992,731,6698
1071019,140992,732,6700
1071519,140990,733,6698
1072019,140990,734,6698
1072519,140989,735,6701
1073019,140989,736,6699
1073519,140987,737,6697
1074019,140985,738,6696
1074519,140984,738,6701
1075019,140986,739,6698
1075519,140983,740,6700
1076019,140983,741,6698
1076519,140983,742,6698
1077019,140981,743,6700
1077519,140980,744,6695
1078019,140979,745,6694
1078519,140981,746,6697
1079019,140979,747,6696
1079519,140980,748,6697
1080019,140977,749,6700
1080519,140976,750,6699
1081019,140974,751,6699
1081519,140977,752,6695
1082019,140976,752,6699
1082519,140973,753,6700
1083019,140973,754,6697
1083519,140972,755,6699
1084019,140970,756,6698
1084519,140968,757,6699
1085019,140968,758,6696
1085519,140967,759,6699
1086019,140968,760,6701
1086519,140967,761,6700
1087019,140966,762,6700
1087519,140966,763,6701
1088019,140963,764,6703
1088519,140963,765,6700
1089019,140963,765,6697
1089519,140961,766,6700
1090019,140961,767,6698
1090519,140960,768,6700
1091019,140961,769,6694
1091519,140961,770,6695
1092019,140958,771,6696
1092519,140958,772,6698
1093019,140957,773,6696
1093519,140957,774,6698
1094019,140956,775,6698
1094519,140956,776,6698
1095019,140955,777,6695
1095519,140953,778,6695
1096019,140954,778,6698
1096519,140952,779,6697
1097019,140950,780,6695
1097519,140949,781,6698
1098019,140949,782,6696
1098519,140947,783,6696
1099019,140947,784,6694
1099519,140947,785,6699
1100019,140945,786,6695
1100519,140945,787,6695
1101019,140944,788,6696
1101519,140944,789,6698
1102019,140943,790,6695
1102519,140942,791,6696
1103019,140940,791,6694
1103519,140940,792,6700
1104019,140940,793,6694
1104519,140941,794,6694
1105019,140939,795,6693
1105519,140939,796,6698
1106019,140937,797,6700
1106519,140935,798,6697
1107019,140936,799,6697
1107519,140933,800,6697
1108019,140933,801,6697
1108519,140935,802,6698
1109019,140934,803,6699
1109519,140933,804,6700
1110019,140932,804,6698
1110519,140932,805,6696
1111019,140932,806,6702
1111519,140931,807,6697
1112019,140930,808,6695
1112519,140928,809,6699
1113019,140927,810,6701
1113519,140929,811,6699
1114019,140927,812,6701
1114519,140925,813,6696
1115019,140926,814,6699
1115519,140924,815,6699
1116019,140922,816,6696
1116519,140924,817,6701
1117019,140921,817,6700
1117519,140921,818,6693
1118019,140920,819,6698
1118519,140921,820,6701
1119019,140919,821,6697
1119519,140917,822,6694
1120019,140915,823,6699
1120519,140915,824,6701
1121019,140914,825,6703
1121519,140915,826,6700
1122019,140913,827,6700
1122519,140913,828,6695
1123019,140913,829,6693
1123519,140912,830,6693
1124019,140911,831,6700
1124519,140911,831,6696
1125019,140911,832,6697
1125519,140909,833,6693
1126019,140907,834,6695
1126519,140908,835,6697
1127019,140905,836,6698
1127519,140903,837,6701
1128519,140904,839,6699
1129019,140904,840,6705
1129519,140902,841,6703
1130019,140902,842,6705
1130519,140899,843,6703
1131519,140899,844,6703
1132019,140897,845,6701
1132519,140896,846,6703
1133019,140897,847,6698
1133519,140898,848,6703
1134019,140899,849,6701
1134519,140896,850,6703
1135019,140895,851,6703
1135519,140894,852,6704
1136019,140892,853,6704
1136519,140893,854,6705
1137019,140892,855,6700
1137519,140891,856,6702
1138019,140891,857,6705
1138519,140890,857,6704
1139019,140888,858,6704
1139519,140888,859,6707
1140019,140887,860,6708
1140519,140885,861,6702
1141019,140886,862,6699
1141519,140884,863,6703
1142519,140882,865,6703
1143019,140882,866,6703
1143519,140882,867,6701
1144019,140882,868,6703
1144519,140881,869,6699
1145019,140880,870,6702
1145519,140879,871,6705
1146019,140878,871,6705
1146519,140877,872,6699
1147019,140876,873,6703
1147519,140878,874,6703
1148019,140876,875,6700
1148519,140874,876,6700
1149019,140874,877,6701
1149519,140874,878,6704
1150019,140872,879,6701
1150519,140870,880,6701
1151019,140869,881,6698
1151519,140870,882,6699
1152019,140870,883,6700
1152519,140868,884,6702
1153019,140869,884,6700
1153519,140868,885,6699
1154019,140865,886,6703
1154519,140866,887,6703
1155019,140865,888,6695
1155519,140864,889,6701
1156019,140862,890,6700
1156519,140862,891,6697
1157019,140863,892,6700
1157519,140862,893,6702
1158019,140860,894,6704
1158519,140858,895,6705
1159019,140860,896,6699
1159519,140858,897,6704
1160019,140857,897,6703
1160519,140855,898,6702
1161019,140857,899,6701
1161519,140856,900,6703
1162019,140853,901,6701
1162519,140854,902,6700
1163019,140852,903,6703
1163519,140853,904,6699
1164019,140851,905,6697
1164519,140850,906,6703
1165019,140850,907,6704
1165519,140847,908,6700
1166019,140847,909,6701
1166519,140845,910,6700
1167019,140845,911,6698
1167519,140845,911,6702
1168019,140844,912,6697
1168519,140844,913,6703
1169019,140843,914,6702
1169519,140840,915,6702
1170019,140842,916,6701
1170519,140842,917,6698
1171019,140841,918,6700
1171519,140841,919,6699
1172019,140839,920,6696
1172519,140838,921,6700
1173019,140836,922,6700
1173519,140839,923,6699
1174019,140836,924,6699
1174519,140835,924,6696
1175019,140836,925,6699
1175519,140835,926,6701
1176019,140834,927,6699
1176519,140832,928,6697
1177019,140833,929,6703
1177519,140832,930,6702
1178519,140830,932,6702
1179019,140830,933,6697
1179519,140828,934,6702
1180019,140828,935,6699
1180519,140827,936,6700
1181019,140828,937,6699
1181519,140825,937,6699
1182019,140825,938,6698
1182519,140824,939,6703
1183019,140824,940,6701
1183519,140823,941,6701
1184019,140824,942,6703
1184519,140823,943,6700
1185019,140824,944,6704
1185519,140821,945,6697
1186019,140821,946,6704
1186519,140818,947,6704
1187019,140818,948,6705
1187519,140818,949,6704
1188019,140817,950,6703
1188519,140815,951,6704
1189019,140815,951,6703
1189519,140816,952,6704
1190019,140813,953,6706
1190519,140811,954,6706
1191019,140814,955,6708
1191519,140811,956,6704
1192019,140811,957,6704
1192519,140811,958,6705
1193019,140808,959,6705
1193519,140808,960,6703
1194019,140806,961,6702
1194519,140807,962,6701
1195019,140805,963,6704
1195519,140805,964,6703
1196019,140806,964,6700
1196519,140807,965,6704
1197019,140805,966,6703
1197519,140804,967,6703
1198019,140801,968,6700
1198519,140802,969,6704
1199019,140800,970,6701
1199519,140801,971,6698
1200019,140799,972,6703
1200550,140802,973,6702
1201050,140799,974,6699
1201550,140798,975,6702
1202050,140798,975,6701
1202550,140797,976,6698
1203050,140795,977,6699
1203550,140794,978,6700
1204050,140793,979,6704
1204550,140795,980,6703
1205050,140791,981,6702
1205550,140791,982,6700
1206050,140792,983,6699
1206550,140789,984,6699
1207050,140790,985,6699
1207550,140789,986,6700
1208050,140788,987,6697
1208550,140787,988,6702
1209050,140788,988,6701
1209550,140786,989,6703
1210050,140785,990,6703
1210550,140785,991,6702
1211050,140783,992,6701
1211550,140781,993,6696
1212050,140783,994,6698
1212550,140783,995,6694
1213050,140781,996,6698
1213550,140781,997,6698
1214050,140781,998,6696
1214550,140780,999,6698
1215050,140778,1000,6698
1215550,140778,1001,6695
1216050,140776,1001,6699
1216550,140776,1002,6701
1217050,140777,1003,6700
1217550,140777,1004,6700
1218050,140776,1005,6701
1218550,140776,1006,6700
1219050,140773,1007,6696
1219550,140772,1008,6690
1220050,140770,1009,6693
1220550,140771,1010,6698
1221050,140769,1011,6704
1221550,140770,1012,6701
1222050,140769,1013,6701
1222550,140769,1014,6703
1223050,140766,1014,6704
1223550,140766,1015,6704
1224050,140767,1016,6702
1224550,140765,1017,6699
